Tỉnh Thành Phố,Quận Huyện,Phường Xã,Cấp,district_level,province_level
Hà Nội,Ba Đình,Phúc Xá,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Trúc Bạch,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Vĩnh Phúc,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Cống Vị,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Liễu Giai,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Nguyễn Trung Trực,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Quán Thánh,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Ngọc Hà,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Điện Biên,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Đội Cấn,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Ngọc Khánh,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Kim Mã,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Giảng Võ,Phường,Quận,Thành Phố
Hà Nội,Ba Đình,Thành Công,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Phúc Tân,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Đồng Xuân,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Mã,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Buồm,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Đào,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Bồ,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Cửa Đông,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Lý Thái Tổ,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Bạc,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Gai,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Chương Dương,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Trống,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Cửa Nam,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Bông,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Tràng Tiền,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,Phường,Quận,Thành Phố
